Company Name,Industry,Symbol,Series,ISIN Code,pe_ratio,price
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017,12.419885,945.65
Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029,53.08664,1470.5
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026,27.38027,3150.1
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010,27.357529,12611.0
NTPC Ltd.,Power,NTPC,EQ,INE733E01010,16.205795,329.95
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024,71.13049,2365.8
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029,8.466505,243.92
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026,73.71225,3002.3
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011,5.9362893,413.7
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010,17.435976,285.95
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022,6.408039,105.22
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018,6.6223626,398.6
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018,28.209217,1450.8
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016,76.75968,1843.0
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035,27.586521,151.45
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015,91.54998,28505.0
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047,13.480557,676.05
Siemens Energy India Ltd.,Capital Goods,ENRIN,BE,INE1NPP01017,N/A,2706.4
Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024,46.25,3159.8
State Bank of India,Financial Services,SBIN,EQ,INE062A01020,9.150944,795.4
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036,36.48079,1661.7
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014,N/A,391.15
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023,61.144398,2837.1
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029,25.292053,3390.4
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025,84.62184,1107.7
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022,10.367036,673.65
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021,32.08132,398.45
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020,56.4927,154.79
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036,34.990612,1677.1
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028,94.0016,3526.0
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028,56.44898,3180.9
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020,139.41312,6057.5
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011,56.499462,11579.0
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024,64.75101,1443.3
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01039,54.763313,462.75
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025,11.537267,445.8
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022,21.146849,264.97
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027,21.463062,964.55
